surface,configuration,ΔE_Pd/V (eV),ΔE_0.25HPd/V (eV),ΔE_0.5HPd/V (eV),ΔE_0.75HPd/V (eV),ΔE_1.0HPd/V (eV)
Pd/V(110),4000000,0.00,0.00,0.00,0.00,0.00
Pd/V(110),3100000-A,0.49,0.23,-0.09,-0.25,-0.37
Pd/V(110),3100000-B,0.56,0.32,-0.02,-0.33,-0.64
Pd/V(110),3010000-A,0.26,0.01,-0.19,-0.33,-0.56
Pd/V(110),3010000-B,0.28,-0.05,-0.27,-0.53,-0.64
Pd/V(110),2200000-A,1.25,0.58,0.21,-0.66,-1.11
Pd/V(110),2200000-B,1.27,0.58,0.00,-0.58,-0.96
Pd/V(110),2110000-A,1.07,0.48,-0.17,-0.70,-1.06
Pd/V(110),2110000-B,1.01,0.37,-0.24,-0.65,-1.08
Pd/V(110),2110000-C,1.01,0.37,-0.24,-0.65,-1.08
Pd/V(110),2020000-A,0.78,0.25,-0.30,-0.85,-1.31
Pd/V(110),2020000-B,0.86,0.40,0.32,0.07,-0.04
Pd/V(111),4000000,0.00,0.00,0.00,0.00,0.00
Pd/V(111),3100000,1.19,0.95,0.87,0.61,0.14
Pd/V(111),3010000,1.18,1.01,0.90,0.45,0.14
Pd/V(111),2200000-A,1.86,1.46,1.10,0.72,0.45
Pd/V(111),2200000-C,2.41,2.10,1.85,1.50,1.39
Pd/V(111),2020000-i,1.99,1.50,1.10,0.48,-0.02
Pd/V(111),2020000-ii,3.38,2.95,2.69,1.98,1.46
Pd/V(111),2110000-A,1.84,1.43,1.03,0.37,0.21
Pd/V(111),2110000-B,1.84,1.33,1.09,0.37,0.21
Pd/V(111),2110000-C,1.84,1.43,1.03,0.75,0.21